edge,i,j,roi1,roi2,network1,network2,t_score,neg_log10_p,p_value
0,0,1,Lingual Gyrus L,Occipital Fusiform Gyrus L,Vis,Vis,0.11759736437595754,-0.0,1.0
1,0,2,Lingual Gyrus L,Lateral Occipital Cortex Inf L,Vis,Vis,-0.5513408992507567,-0.0,1.0
2,0,3,Lingual Gyrus L,Lingual Gyrus L,Vis,Vis,-0.2137069947459475,-0.0,1.0
3,0,4,Lingual Gyrus L,Occipital Pole L,Vis,Vis,-0.4072135373327742,-0.0,1.0
4,0,5,Lingual Gyrus L,Lingual Gyrus L,Vis,Vis,0.7278216436919837,-0.0,1.0
5,0,6,Lingual Gyrus L,Occipital Pole L,Vis,Vis,0.5239384852311181,-0.0,1.0
6,0,7,Lingual Gyrus L,Lateral Occipital Cortex Inf L,Vis,Vis,0.06255492190894638,-0.0,1.0
7,0,8,Lingual Gyrus L,Occipital Pole L,Vis,Vis,-1.0076306548852125,-0.0,1.0
8,0,9,Lingual Gyrus L,Intracalcarine Cortex L,Vis,Vis,0.8077416185519599,-0.0,1.0
9,0,10,Lingual Gyrus L,Lateral Occipital Cortex Inf L,Vis,Vis,-1.0090079657144717,-0.0,1.0
10,0,11,Lingual Gyrus L,Cuneal Cortex L,Vis,Vis,-0.10382450124665069,-0.0,1.0
11,0,12,Lingual Gyrus L,Cuneal Cortex L,Vis,Vis,-0.7308929762972262,-0.0,1.0
12,0,13,Lingual Gyrus L,Lateral Occipital Cortex Sup L,Vis,Vis,-1.0432095139617097,-0.0,1.0
13,0,14,Lingual Gyrus L,Planum Polare L,Vis,SomMot,-1.1123611211859337,-0.0,1.0
14,0,15,Lingual Gyrus L,Planum Temporale L,Vis,SomMot,-1.5918450997113676,-0.0,1.0
15,0,16,Lingual Gyrus L,Insular Cortex L,Vis,SomMot,0.28442445585041654,-0.0,1.0
16,0,17,Lingual Gyrus L,Central Opercular Cortex L,Vis,SomMot,-0.14574255386245316,-0.0,1.0
17,0,18,Lingual Gyrus L,Central Opercular Cortex L,Vis,SomMot,1.3007209972858251,-0.0,1.0
18,0,19,Lingual Gyrus L,Precentral Gyrus L,Vis,SomMot,-0.13716792879415712,-0.0,1.0
19,0,20,Lingual Gyrus L,Precentral Gyrus L,Vis,SomMot,-1.4288361737351596,-0.0,1.0
20,0,21,Lingual Gyrus L,Juxtapositional Lobule Cortex  L,Vis,SomMot,-1.9147504646707354,-0.0,1.0
21,0,22,Lingual Gyrus L,Postcentral Gyrus L,Vis,SomMot,-0.38064691636688214,-0.0,1.0
22,0,23,Lingual Gyrus L,Precentral Gyrus L,Vis,SomMot,0.1729552218865455,-0.0,1.0
23,0,24,Lingual Gyrus L,Superior Parietal Lobule L,Vis,SomMot,0.0026343902596827518,-0.0,1.0
24,0,25,Lingual Gyrus L,Precentral Gyrus L,Vis,SomMot,0.8807594393756819,-0.0,1.0
25,0,26,Lingual Gyrus L,Postcentral Gyrus L,Vis,SomMot,-0.2242268788693646,-0.0,1.0
26,0,27,Lingual Gyrus L,Superior Frontal Gyrus L,Vis,SomMot,-0.25614723984765536,-0.0,1.0
27,0,28,Lingual Gyrus L,Precentral Gyrus L,Vis,SomMot,0.4474820690978302,-0.0,1.0
28,0,29,Lingual Gyrus L,Postcentral Gyrus L,Vis,SomMot,1.3801329285852817,-0.0,1.0
29,0,30,Lingual Gyrus L,Temporal Occipital Fusiform Cortex L,Vis,DorsAttn,0.5825021395844088,-0.0,1.0
30,0,31,Lingual Gyrus L,Middle Temporal Gyrus TempOcci L,Vis,DorsAttn,1.2306132296377006,-0.0,1.0
31,0,32,Lingual Gyrus L,Lateral Occipital Cortex Sup L,Vis,DorsAttn,1.0952548352751463,-0.0,1.0
32,0,33,Lingual Gyrus L,Postcentral Gyrus L,Vis,DorsAttn,-0.8855805652809352,-0.0,1.0
33,0,34,Lingual Gyrus L,Postcentral Gyrus L,Vis,DorsAttn,-1.1193667863428505,-0.0,1.0
34,0,35,Lingual Gyrus L,Superior Parietal Lobule L,Vis,DorsAttn,0.10437686363032923,-0.0,1.0
35,0,36,Lingual Gyrus L,Lateral Occipital Cortex Sup L,Vis,DorsAttn,0.9806000088678917,-0.0,1.0
36,0,37,Lingual Gyrus L,Lateral Occipital Cortex Sup L,Vis,DorsAttn,0.5762202496688625,-0.0,1.0
37,0,38,Lingual Gyrus L,Precuneous Cortex L,Vis,DorsAttn,1.5670248375296802,-0.0,1.0
38,0,39,Lingual Gyrus L,Superior Parietal Lobule L,Vis,DorsAttn,0.7036988130870023,-0.0,1.0
39,0,40,Lingual Gyrus L,Middle Frontal Gyrus L,Vis,DorsAttn,0.1761559559445871,-0.0,1.0
40,0,41,Lingual Gyrus L,Superior Frontal Gyrus L,Vis,DorsAttn,-0.24751564526656783,-0.0,1.0
41,0,42,Lingual Gyrus L,Precentral Gyrus L,Vis,DorsAttn,-0.6552645376619138,-0.0,1.0
42,0,43,Lingual Gyrus L,Planum Temporale L,Vis,SalVentAttn,-0.4759809210298106,-0.0,1.0
43,0,44,Lingual Gyrus L,Supramarginal Gyrus Ant L,Vis,SalVentAttn,1.1551854470277727,-0.0,1.0
44,0,45,Lingual Gyrus L,Supramarginal Gyrus Ant L,Vis,SalVentAttn,1.0997011125303213,-0.0,1.0
45,0,46,Lingual Gyrus L,Insular Cortex L,Vis,SalVentAttn,0.447593640756951,-0.0,1.0
46,0,47,Lingual Gyrus L,Insular Cortex L,Vis,SalVentAttn,0.949856930730643,-0.0,1.0
47,0,48,Lingual Gyrus L,Central Opercular Cortex L,Vis,SalVentAttn,-1.9777171293219018,-0.0,1.0
48,0,49,Lingual Gyrus L,Inferior Frontal Gyrus ParsOper L,Vis,SalVentAttn,1.618226257109119,-0.0,1.0
49,0,50,Lingual Gyrus L,Frontal Pole L,Vis,SalVentAttn,-0.4230784293689875,-0.0,1.0
50,0,51,Lingual Gyrus L,Cingulate Gyrus Ant L,Vis,SalVentAttn,-0.3325927499772703,-0.0,1.0
51,0,52,Lingual Gyrus L,Precentral Gyrus L,Vis,SalVentAttn,1.165106762665832,-0.0,1.0
52,0,53,Lingual Gyrus L,Juxtapositional Lobule Cortex  L,Vis,SalVentAttn,0.10809079108445104,-0.0,1.0
53,0,54,Lingual Gyrus L,Frontal Orbital Cortex L,Vis,Limbic,1.2223782413532673,-0.0,1.0
54,0,55,Lingual Gyrus L,Frontal Medial Cortex L,Vis,Limbic,1.6839702965291885,-0.0,1.0
55,0,56,Lingual Gyrus L,Temporal Fusiform Cortex Ant L,Vis,Limbic,1.508739025136412,-0.0,1.0
56,0,57,Lingual Gyrus L,Inferior Temporal Gyrus Post L,Vis,Limbic,1.836324730823135,-0.0,1.0
57,0,58,Lingual Gyrus L,Temporal Pole L,Vis,Limbic,1.5405940588869325,-0.0,1.0
