"labels","mnicoordsX","mnicoordsY","mnicoordsZ","parcelnum","Juelich.Histological.Atlas","Harvard.Oxford.Cortical.Structural.Atlas","Harvard.Oxford.Subcortical.Structural.Atlas","JHU.ICBM.DTI.81.White.Matter.labels","JHU.White.Matter.tractography.Atlas","Oxford.Thalamic.Connectivity.Atlas","Cerebellar.Atlas.in.MNI152.after.FLIRT","Cerebellar.Atlas.in.MNI152.after.FNIRT","MNI.Structural.Atlas","short_labels","yeo7","merged_labels","yeo7Intero_Shortlabels","shortER_labels"
"Schaefer_Left-Vis-1",-23.7670126874279,-52.9983852364475,-9.06712802768166,1001,"GM Visual cortex V1 BA17 L","Lingual Gyrus","Left Cerebral Cortex","NaN","NaN","NaN",NA,NA,"Occipital Lobe","Lingual Gyrus L","Vis","Visual cortex V1 BA17 L","Vis","Lingual Gyr L"
"Schaefer_Left-Vis-2",-25.3838541087513,-76.8615589903258,-13.5442010452574,1002,"GM Visual cortex V4 L","Occipital Fusiform Gyrus","Left Cerebral Cortex","NaN","Inferior fronto-occipital fasciculus L","NaN",NA,NA,"Occipital Lobe","Occipital Fusiform Gyrus L","Vis","Visual cortex V4 L","Vis","Occip Fusif Gyr L"
"Schaefer_Left-Vis-3",-45.3722677595628,-69.3869535519126,-8.38866120218579,1003,"GM Visual cortex V5 L","Lateral Occipital Cortex, inferior division","Left Cerebral Cortex","NaN","NaN","NaN",NA,NA,"Occipital Lobe","Lateral Occipital Cortex Inf L","Vis","Visual cortex V5 L","Vis","Lat Occip Cort Inf L"
"Schaefer_Left-Vis-4",-9.66064209274673,-66.797146254459,-4.49583828775268,1004,"GM Visual cortex V2 BA18 L","Lingual Gyrus","Left Cerebral Cortex","NaN","NaN","NaN",NA,NA,"Occipital Lobe","Lingual Gyrus L","Vis","Visual cortex V2 BA18 L","Vis","Lingual Gyr L"
"Schaefer_Left-Vis-5",-26.6096795507103,-94.8577799801784,-12.3301949124546,1005,"GM Visual cortex V3V L","Occipital Pole","Left Cerebral Cortex","NaN","NaN","NaN",NA,NA,"Occipital Lobe","Occipital Pole L","Vis","Visual cortex V3V L","Vis","Occip Pole L"
"Schaefer_Left-Vis-6",-14.284659557014,-44.597210828548,-3.09105824446267,1006,"WM Cingulum L","Lingual Gyrus","Left Cerebral Cortex","NaN","Cingulum (hippocampus) L","NaN",NA,NA,"Parietal Lobe","Lingual Gyrus L","Vis","Cingulum L","Vis","Lingual Gyr L"
"Schaefer_Left-Vis-7",-6.07969275084014,-92.8382141142583,-4.46695471275405,1007,"GM Visual cortex V2 BA18 L","Occipital Pole","Left Cerebral Cortex","NaN","Inferior fronto-occipital fasciculus L","NaN",NA,NA,"Occipital Lobe","Occipital Pole L","Vis","Visual cortex V2 BA18 L","Vis","Occip Pole L"
"Schaefer_Left-Vis-8",-47.1544169611307,-69.9625441696113,9.72102473498234,1008,"GM Visual cortex V5 L","Lateral Occipital Cortex, inferior division","Left Cerebral Cortex","NaN","NaN","NaN",NA,NA,"Occipital Lobe","Lateral Occipital Cortex Inf L","Vis","Visual cortex V5 L","Vis","Lat Occip Cort Inf L"
"Schaefer_Left-Vis-9",-22.5534452990111,-96.7742897504316,6.0072202166065,1009,"GM Visual cortex V3V L","Occipital Pole","Left Cerebral Cortex","NaN","NaN","NaN",NA,NA,"Occipital Lobe","Occipital Pole L","Vis","Visual cortex V3V L","Vis","Occip Pole L"
"Schaefer_Left-Vis-10",-11.8545403977194,-69.4913085801697,7.18397997496871,1010,"GM Visual cortex V1 BA17 L","Intracalcarine Cortex","Left Cerebral Cortex","NaN","NaN","NaN",NA,NA,"Occipital Lobe","Intracalcarine Cortex L","Vis","Visual cortex V1 BA17 L","Vis","Intracalcarine Cort L"
"Schaefer_Left-Vis-11",-39.836268953898,-84.5487823556441,10.2531781283504,1011,"GM Visual cortex V5 L","Lateral Occipital Cortex, inferior division","Left Cerebral Cortex","NaN","NaN","NaN",NA,NA,"Occipital Lobe","Lateral Occipital Cortex Inf L","Vis","Visual cortex V5 L","Vis","Lat Occip Cort Inf L"
"Schaefer_Left-Vis-12",-12.2392039053699,-72.8077356365002,22.4431092752535,1012,"WM Optic radiation L","Cuneal Cortex","Left Cerebral Cortex","NaN","NaN","NaN",NA,NA,"Occipital Lobe","Cuneal Cortex L","Vis","Optic radiation L","Vis","Cuneal Cort L"
"Schaefer_Left-Vis-13",-8.53859264670075,-87.7903579254931,28.2019722425128,1013,"GM Visual cortex V2 BA18 L","Cuneal Cortex","Left Cerebral Cortex","NaN","Forceps major","NaN",NA,NA,"Occipital Lobe","Cuneal Cortex L","Vis","Visual cortex V2 BA18 L","Vis","Cuneal Cort L"
