participant_id	RS_MW_1	RS_MW_2	RS_MW_3	RS_MW_4	RS_MW_5	RS_MW_6	RS_MW_7	RS_MW_8	RS_MW_9	RS_MW_10	RS_MW_11	RS_MW_12	RS_MW_13	RS_MW_14	RS_MW_15	RS_MW_16	RS_MW_17	RS_MW_18	RS_MW_19	RS_MW_20	RS_MW_21	RS_MW_22	RS_MW_RT_1	RS_MW_RT_2	RS_MW_RT_3	RS_MW_RT_4	RS_MW_RT_5	RS_MW_RT_6	RS_MW_RT_7	RS_MW_RT_8	RS_MW_RT_9	RS_MW_RT_10	RS_MW_RT_11	RS_MW_RT_12	RS_MW_RT_13	RS_MW_RT_14	RS_MW_RT_15	RS_MW_RT_16	RS_MW_RT_17	RS_MW_RT_18	RS_MW_RT_19	RS_MW_RT_20	RS_MW_RT_21	RS_MW_RT_22	MOV_MW_1	MOV_MW_2	MOV_MW_3	MOV_MW_4	MOV_MW_5	MOV_MW_6	MOV_MW_7	MOV_MW_8	MOV_MW_9	MOV_MW_10	MOV_MW_11	MOV_MW_12	MOV_MW_13	MOV_MW_14	MOV_MW_15	MOV_MW_16	MOV_MW_17	MOV_MW_18	MOV_MW_19	MOV_MW_20	MOV_MW_21	MOV_MW_22	MOV_MW_RT_1	MOV_MW_RT_2	MOV_MW_RT_3	MOV_MW_RT_4	MOV_MW_RT_5	MOV_MW_RT_6	MOV_MW_RT_7	MOV_MW_RT_8	MOV_MW_RT_9	MOV_MW_RT_10	MOV_MW_RT_11	MOV_MW_RT_12	MOV_MW_RT_13	MOV_MW_RT_14	MOV_MW_RT_15	MOV_MW_RT_16	MOV_MW_RT_17	MOV_MW_RT_18	MOV_MW_RT_19	MOV_MW_RT_20	MOV_MW_RT_21	MOV_MW_RT_22	MOV_Rating_1	MOV_Rating_2	MOV_Rating_3	MOV_Rating_4	MOV_Rating_5	MOV_Rating_6	MOV_Rating_7	MOV_Rating_8	MOV_Rating_9	MOV_Rating_RT_1	MOV_Rating_RT_2	MOV_Rating_RT_3	MOV_Rating_RT_4	MOV_Rating_RT_5	MOV_Rating_RT_6	MOV_Rating_RT_7	MOV_Rating_RT_8	MOV_Rating_RT_9
sub-0039	51.5625	23.307291666666664	100.0	38.15104166666667	70.96354166666666	1.171875	100.0	42.96875	79.55729166666666	38.02083333333333	22.135416666666664	27.994791666666668	0.0	30.338541666666668	0.0	0.5208333333333333	24.088541666666664	0.0	33.59375	0.0	0.0	0.0	4244.3362342892215	5099.5177056174725	4759.124260861427	5723.37917808909	3854.869651608169	3922.322840197012	6792.760068085045	7328.459276119247	6641.326273907907	8090.496422490105	4931.196554331109	3012.7403452061117	7681.280925287865	6194.257060298696	4731.4268263289705	4245.254049776122	4778.107740799896	19862.1339002857	6300.666883937083	4667.282393435016	5148.132737725973	4845.418493030593	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-0019	15.234375	83.33333333333334	66.40625	76.69270833333334	71.875	6.901041666666667	6.901041666666667	60.15625	50.651041666666664	34.50520833333333	43.88020833333333	37.76041666666667	63.541666666666664	77.34375	22.135416666666664	18.75	14.713541666666666	0.13020833333333331	10.807291666666668	0.0	0.0	0.0	5962.107787025161	4920.955259585753	4292.607686948031	4163.206599187106	3749.0292520960793	4803.576240548864	5654.258779715747	4997.258423012681	4805.212653474882	8157.894753734581	6603.02664199844	4997.061129542999	7262.098098755814	4732.1329122642055	7445.9916385822	6708.977718371898	3959.518591174856	4653.2630091533065	7967.29451965075	3110.3406151523814	3348.8754594000056	3522.8667926276103	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-0020	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-0025	82.68229166666666	39.58333333333333	70.18229166666666	79.81770833333334	65.625	23.177083333333336	60.546875	51.041666666666664	64.71354166666666	54.557291666666664	43.22916666666667	36.19791666666667	68.75	55.46875	70.05208333333334	58.984375	64.19270833333334	32.55208333333333	65.75520833333334	20.572916666666664	35.15625	60.15625	5178.647779626772	4539.585728663951	3359.455521334894	3519.9099571909755	3746.3547226507217	11944.545140839182	4881.33360107895	8261.263691820204	4150.363597436808	5724.885666044429	3426.4214111026376	5169.195017078891	6079.013622598723	6482.778045814484	4994.402319542132	7420.6094346009195	4222.051056334749	9410.615157801658	4271.642290055752	4657.911435468122	4530.081316945143	5888.90325371176	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-0026	21.744791666666664	57.942708333333336	88.15104166666666	79.81770833333334	30.46875	57.942708333333336	100.0	69.53125	71.875	23.4375	14.84375	63.802083333333336	82.94270833333334	71.875	23.307291666666664	69.79166666666666	67.05729166666666	18.619791666666664	69.40104166666666	0.0	24.348958333333336	21.223958333333336	4303.457864560187	4279.760514618829	4318.58209206257	4149.234052281827	6720.391224836931	5088.1584148155525	12865.80676655285	6120.083062211052	5274.094503256492	5874.852110166103	5328.142964979634	5617.914438131265	6965.559299685992	6469.999525230378	8124.380209832452	4055.376583477482	4869.095311732963	4701.167143182829	4629.808506579138	6474.879570771009	4573.339270311408	4291.857971809804	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-0021	54.817708333333336	65.36458333333334	81.11979166666666	63.802083333333336	45.57291666666667	58.59375	44.140625	37.109375	80.33854166666666	64.19270833333334	13.411458333333334	69.66145833333334	50.78125	15.885416666666666	78.77604166666666	35.546875	19.140625	7.421875	16.666666666666664	100.0	0.0	9.505208333333332	5840.763329993933	6080.025112372823	5173.466821317561	4847.273693187162	6807.051813346334	7224.5436906814575	11769.504142226651	7202.385871321894	7402.577454573475	9125.855900696479	38861.391563666984	4286.122987861745	4962.9922391613945	6259.994276915677	8758.052460267209	6747.906764503568	5464.114084956236	6879.309338168241	6786.191639606841	8963.214555173181	9980.01112532802	4634.719349211082	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-0022	52.604166666666664	0.0	28.645833333333332	52.604166666666664	60.9375	25.130208333333332	17.838541666666664	33.984375	36.328125	32.421875	41.66666666666667	61.979166666666664	73.046875	22.005208333333336	74.609375	69.921875	45.57291666666667	0.0	46.09375	0.6510416666666667	23.697916666666664	0.0	7738.701019901782	5987.650712952018	9360.78781366814	4090.468191774562	4887.23443984054	9736.855764640495	7622.382894391194	7439.558909623884	4295.1500456547365	4630.285539780743	4901.828381000087	3948.549395892769	10520.017746835947	6309.812317835167	8343.634831951931	6121.782352332957	8682.72068630904	11785.684451111592	7301.004047272727	5136.020844453014	5141.380168730393	13038.411592016928	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-0023	21.484375	0.0	88.41145833333334	31.25	38.80208333333333	55.208333333333336	100.0	100.0	96.875	12.890625	59.375	74.08854166666666	0.0	20.833333333333336	49.609375	79.42708333333334	61.848958333333336	38.15104166666667	75.26041666666666	5.46875	89.32291666666666	0.0	7009.232050389983	4196.984521928243	4259.183609276079	7711.919476045296	4313.623770722188	6870.076325372793	6802.303617587313	17630.668257013895	6306.170248542912	5338.0005799699575	3773.216146393679	3879.254160216078	5625.808742828667	5191.039412398823	7937.786155729555	4639.477169141173	4813.03253187798	4606.674164882861	3591.1274406826124	5374.555688700639	3173.571723746136	3746.941149351187	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-0030	40.36458333333333	62.239583333333336	100.0	71.22395833333334	39.32291666666667	62.630208333333336	73.4375	69.53125	86.71875	64.97395833333334	24.348958333333336	89.19270833333334	71.484375	75.390625	5.598958333333334	63.411458333333336	59.114583333333336	56.510416666666664	20.052083333333336	11.848958333333332	0.0	0.0	8069.083826965652	7882.712088874541	6250.009624171071	6663.6614970630035	4932.049888651818	4859.367621480487	5085.27568471618	7098.791088326834	5483.033725293353	5190.943813417107	8807.115011499263	8109.209465910681	14207.956925150938	12490.258515346795	5644.503179821186	4558.908938313834	5670.7675902871415	4580.770657164976	7286.400802782737	5331.142467097379	5459.1782197821885	3203.539797454141	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-0040	74.73958333333334	15.104166666666666	26.302083333333332	45.96354166666667	70.83333333333334	15.625	24.348958333333336	22.135416666666664	90.88541666666666	45.18229166666667	64.58333333333334	21.744791666666664	14.453125	16.276041666666664	63.28125	24.348958333333336	25.390625	20.572916666666664	2.083333333333333	0.0	0.0	9.244791666666668	7429.92778099142	60824.14512592368	9391.035626991652	9507.6296426123	5974.411199335009	9259.400792536326	6956.6336155403405	7872.396367951296	7484.979391563684	11153.104212018661	9835.098601761274	6974.079810548574	8175.687094568275	5211.201841128059	32611.35082168039	8939.769997494295	8530.976034817286	7894.561244989745	6540.741579607129	5533.1491499673575	4254.811714636162	11345.48201202415	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
