"reg_A","reg_B","weight","mod_A","mod_B"
"Precentral.Gyrus.R.1","Thalamus.R",0.703031348390156,"SomMot","Subcortical"
"Precentral.Gyrus.L.2","Caudate.R",0.698837570190837,"SomMot","Subcortical"
"Precentral.Gyrus.R.2","Thalamus.R",0.695841268698783,"SomMot","Subcortical"
"Postcentral.Gyrus.R.1","Thalamus.R",0.694528867386115,"Intero","Subcortical"
"Precentral.Gyrus.L.1","Thalamus.R",0.683341470686942,"SomMot","Subcortical"
"Postcentral.Gyrus.R","Thalamus.R",0.681264971081168,"Intero","Subcortical"
"Postcentral.Gyrus.R.3","Paracingulate.Gyrus.R",0.678690482256079,"Intero","Intero"
"Postcentral.Gyrus.R.4","Caudate.R",0.675770903449253,"Intero","Subcortical"
"Precentral.Gyrus.L.4","Caudate.R",0.674086239587976,"SomMot","Subcortical"
"Juxtapositional.Lobule.Cortex..L","Thalamus.R",0.672817793626145,"SomMot","Subcortical"
"Postcentral.Gyrus.L.1","Caudate.R",0.672462998807524,"Intero","Subcortical"
"Precentral.Gyrus.L.3","Thalamus.R",0.669099993214319,"SomMot","Subcortical"
"Parietal.Operculum.Cortex.R","Thalamus.R",0.668969113143266,"SomMot","Subcortical"
"Precentral.Gyrus.L","Thalamus.R",0.668247273889767,"SomMot","Subcortical"
"Postcentral.Gyrus.R.5","Caudate.R",0.667229739152148,"Intero","Subcortical"
"Postcentral.Gyrus.L.2","Caudate.R",0.666611048372896,"Intero","Subcortical"
"Postcentral.Gyrus.R.2","Caudate.R",0.666145278761403,"Intero","Subcortical"
"Juxtapositional.Lobule.Cortex..R","Thalamus.R",0.666016991378321,"SomMot","Subcortical"
"Planum.Temporale.R","Thalamus.R",0.665639737469437,"SomMot","Subcortical"
"Postcentral.Gyrus.R.3","Caudate.R",0.664555895370312,"Intero","Subcortical"
"Superior.Frontal.Gyrus.R","Thalamus.R",0.660599005722293,"SomMot","Subcortical"
"Precentral.Gyrus.L.4","Putamen.L",0.66007848150924,"SomMot","Subcortical"
"Postcentral.Gyrus.L.1","Paracingulate.Gyrus.R",0.660041933513838,"Intero","Intero"
"Superior.Parietal.Lobule.R","Thalamus.R",0.659477978020345,"SomMot","Subcortical"
"Postcentral.Gyrus.R.2","Caudate.L",0.658217710091078,"Intero","Subcortical"
"Postcentral.Gyrus.L.3","Thalamus.R",0.658135150734579,"Intero","Subcortical"
"Postcentral.Gyrus.R.3","Thalamus.R",0.657372431563344,"Intero","Subcortical"
"Insular.Cortex.R","Thalamus.R",0.656215782982937,"Intero","Subcortical"
"Precentral.Gyrus.L.2","Putamen.L",0.654595727561157,"SomMot","Subcortical"
"Postcentral.Gyrus.R.6","Thalamus.R",0.65228900504608,"Intero","Subcortical"
"Precentral.Gyrus.L.4","Thalamus.R",0.650566303406784,"SomMot","Subcortical"
"Postcentral.Gyrus.L.1","Thalamus.R",0.650524205652741,"Intero","Subcortical"
"Central.Opercular.Cortex.R","Thalamus.R",0.650409457802497,"SomMot","Subcortical"
"Postcentral.Gyrus.L","Caudate.R",0.649485513639986,"Intero","Subcortical"
"Postcentral.Gyrus.R.1","Paracingulate.Gyrus.R",0.648643551324168,"Intero","Intero"
"Postcentral.Gyrus.L.4","Thalamus.R",0.647521978077561,"Intero","Subcortical"
"Precentral.Gyrus.L.2","Thalamus.R",0.647127863491134,"SomMot","Subcortical"
"Lateral.Occipital.Cortex.Inf.L.1","Thalamus.R",0.645145379054145,"Vis","Subcortical"
"Superior.Frontal.Gyrus.L","Thalamus.R",0.645091724835152,"SomMot","Subcortical"
"Postcentral.Gyrus.R.7","Thalamus.R",0.644372355042043,"Intero","Subcortical"
"Central.Opercular.Cortex.L.1","Thalamus.R",0.642142311746321,"SomMot","Subcortical"
"Precentral.Gyrus.R.1","Putamen.R",0.642060457705536,"SomMot","Subcortical"
"Precentral.Gyrus.R.3","Caudate.R",0.641784603239617,"SomMot","Subcortical"
"Postcentral.Gyrus.R.2","Thalamus.R",0.64166207553628,"Intero","Subcortical"
"Precentral.Gyrus.L.2","Caudate.L",0.640294363094955,"SomMot","Subcortical"
"Postcentral.Gyrus.L","Paracingulate.Gyrus.R",0.640120515361786,"Intero","Intero"
"Postcentral.Gyrus.L","Thalamus.R",0.640103055361326,"Intero","Subcortical"
"Superior.Temporal.Gyrus.Ant.R","Thalamus.R",0.639072144909779,"Default","Subcortical"
"Middle.Temporal.Gyrus.TempOcci.R","Thalamus.R",0.637007715027172,"DorsAttn","Subcortical"
"Precentral.Gyrus.L.4","Caudate.L",0.635287497559872,"SomMot","Subcortical"
"Insular.Cortex.R","Caudate.R",0.635158324351282,"Intero","Subcortical"
"Postcentral.Gyrus.R.4","Paracingulate.Gyrus.R",0.633512360369684,"Intero","Intero"
"Precentral.Gyrus.R.2","Caudate.R",0.633243382947728,"SomMot","Subcortical"
"Precentral.Gyrus.R.1","Putamen.L",0.632785124064375,"SomMot","Subcortical"
"Precentral.Gyrus.L.3","Paracingulate.Gyrus.R",0.63136701183404,"SomMot","Intero"
"Precentral.Gyrus.R.3","Putamen.L",0.631001870308428,"SomMot","Subcortical"
"Lateral.Occipital.Cortex.Inf.R","Thalamus.R",0.630380081475318,"Vis","Subcortical"
"Precentral.Gyrus.R.2","Paracingulate.Gyrus.R",0.62987734080029,"SomMot","Intero"
"Precentral.Gyrus.R.2","Putamen.L",0.629273003274677,"SomMot","Subcortical"
"Postcentral.Gyrus.L.1","Cingulate.Gyrus.Post.R.1",0.628867913102679,"Intero","Intero"
"Central.Opercular.Cortex.L","Thalamus.R",0.627461936375103,"SomMot","Subcortical"
"Insular.Cortex.L","Caudate.R",0.626707454413468,"Intero","Subcortical"
"Postcentral.Gyrus.L.2","Putamen.L",0.626101004252066,"Intero","Subcortical"
"Insular.Cortex.L","Putamen.L",0.625325577451826,"Intero","Subcortical"
"Precentral.Gyrus.L.4","Paracingulate.Gyrus.R",0.6253038948767,"SomMot","Intero"
"Precentral.Gyrus.R.3","Thalamus.R",0.625200995781631,"SomMot","Subcortical"
"Postcentral.Gyrus.R.2","Putamen.L",0.624517193611435,"Intero","Subcortical"
"Superior.Parietal.Lobule.L","Thalamus.R",0.622446124369719,"SomMot","Subcortical"
"Postcentral.Gyrus.R.1","Caudate.R",0.622242221194384,"Intero","Subcortical"
"Postcentral.Gyrus.R.3","Frontal.Pole.R.4",0.621755138041898,"Intero","Cont"
"Postcentral.Gyrus.R.4","Putamen.L",0.621584227869632,"Intero","Subcortical"
"Postcentral.Gyrus.R.5","Caudate.L",0.620812700748057,"Intero","Subcortical"
"Precentral.Gyrus.L.3","Caudate.R",0.620408972127564,"SomMot","Subcortical"
"Postcentral.Gyrus.R.1","Thalamus.L",0.620362483064812,"Intero","Subcortical"
"Postcentral.Gyrus.L","Postcentral.Gyrus.R.3",-0.618784860791088,"Intero","Intero"
"Postcentral.Gyrus.R.3","Putamen.L",0.618133127397379,"Intero","Subcortical"
"Inferior.Temporal.Gyrus.TempOcci.R","Thalamus.R",0.618021934246359,"DorsAttn","Subcortical"
"Precentral.Gyrus.R.2","Thalamus.L",0.617922122696165,"SomMot","Subcortical"
"Postcentral.Gyrus.R.4","Caudate.L",0.617508406261464,"Intero","Subcortical"
"Postcentral.Gyrus.L.1","Frontal.Pole.R.5",0.617448241497446,"Intero","Cont"
"Postcentral.Gyrus.R.1","Cingulate.Gyrus.Post.R.1",0.616144107523424,"Intero","Intero"
"Postcentral.Gyrus.L.1","Putamen.R",0.61577471199092,"Intero","Subcortical"
"Cingulate.Gyrus.Ant.L.2","Precentral.Gyrus.R.2",0.615744799172533,"Intero","SomMot"
"Postcentral.Gyrus.L.1","Putamen.L",0.615213784056695,"Intero","Subcortical"
"Postcentral.Gyrus.R.4","Thalamus.R",0.613571877158635,"Intero","Subcortical"
"Precentral.Gyrus.L","Postcentral.Gyrus.R.3",-0.612669020982505,"SomMot","Intero"
"Precentral.Gyrus.L.4","Cingulate.Gyrus.Ant.L.2",0.611843167187765,"SomMot","Intero"
"Precentral.Gyrus.R.3","Caudate.L",0.611424148861211,"SomMot","Subcortical"
"Postcentral.Gyrus.R","Postcentral.Gyrus.R.3",-0.6110582368932,"Intero","Intero"
"Precentral.Gyrus.R","Thalamus.R",0.611015720882094,"SomMot","Subcortical"
"Postcentral.Gyrus.L","Thalamus.L",0.610953319813919,"Intero","Subcortical"
"Planum.Temporale.L","Thalamus.R",0.610840079672972,"SomMot","Subcortical"
"Precentral.Gyrus.L.2","Superior.Frontal.Gyrus.R.2",0.610818762322122,"SomMot","Cont"
"Juxtapositional.Lobule.Cortex..L","Putamen.L",0.610473387113162,"SomMot","Subcortical"
"Postcentral.Gyrus.R.5","Putamen.L",0.610254114239297,"Intero","Subcortical"
"Postcentral.Gyrus.R.3","Cingulate.Gyrus.Post.R.1",0.609163330701329,"Intero","Intero"
