"reg_A","reg_B","weight","mod_A","mod_B"
"Precent.Gyr.R.1","Thalamus.R",0.705640266195027,"SomMot","Subcortical"
"Precent.Gyr.L.2","Caudate.R",0.698181040213275,"SomMot","Subcortical"
"Precent.Gyr.R.2","Thalamus.R",0.696539611166157,"SomMot","Subcortical"
"Postcent.Gyr.R.1","Thalamus.R",0.696339217673478,"Intero","Subcortical"
"Precent.Gyr.L.1","Thalamus.R",0.686132874277674,"SomMot","Subcortical"
"Postcent.Gyr.R.3","Paracingu.Gyr.R",0.682677070977171,"Intero","Intero"
"Postcent.Gyr.R","Thalamus.R",0.679535167964605,"Intero","Subcortical"
"Postcent.Gyr.R.4","Caudate.R",0.675910191617235,"Intero","Subcortical"
"Precent.Gyr.L.4","Caudate.R",0.673311451546347,"SomMot","Subcortical"
"Postcent.Gyr.L.1","Caudate.R",0.672133617310903,"Intero","Subcortical"
"Juxtapos.Lob.Cort..L","Thalamus.R",0.6720896055862,"SomMot","Subcortical"
"Precent.Gyr.L.3","Thalamus.R",0.670229665940249,"SomMot","Subcortical"
"Pariet.Operc.Cort.R","Thalamus.R",0.668411412868507,"SomMot","Subcortical"
"Precent.Gyr.L","Thalamus.R",0.66813836115938,"SomMot","Subcortical"
"Juxtapos.Lob.Cort..R","Thalamus.R",0.66701360449678,"SomMot","Subcortical"
"Postcent.Gyr.L.2","Caudate.R",0.666495621689313,"Intero","Subcortical"
"Planum.Temp.R","Thalamus.R",0.666112742952968,"SomMot","Subcortical"
"Postcent.Gyr.R.2","Caudate.R",0.664815048273877,"Intero","Subcortical"
"Postcent.Gyr.R.3","Caudate.R",0.664603537966006,"Intero","Subcortical"
"Postcent.Gyr.R.5","Caudate.R",0.664336387876738,"Intero","Subcortical"
"Postcent.Gyr.L.1","Paracingu.Gyr.R",0.663462932652236,"Intero","Intero"
"Sup.Front.Gyr.R","Thalamus.R",0.660530393162217,"SomMot","Subcortical"
"Precent.Gyr.L.4","Putamen.L",0.660033647068002,"SomMot","Subcortical"
"Sup.Pariet.Lob.R","Thalamus.R",0.659521653598299,"SomMot","Subcortical"
"Postcent.Gyr.R.3","Thalamus.R",0.658698009576124,"Intero","Subcortical"
"Postcent.Gyr.L.3","Thalamus.R",0.658096687303595,"Intero","Subcortical"
"Insular.Cort.R","Thalamus.R",0.657061326764729,"Intero","Subcortical"
"Postcent.Gyr.R.2","Caudate.L",0.656064949686845,"Intero","Subcortical"
"Precent.Gyr.L.2","Putamen.L",0.655699167154384,"SomMot","Subcortical"
"Postcent.Gyr.R.1","Paracingu.Gyr.R",0.654591048461051,"Intero","Intero"
"Cent.Operc.Cort.R","Thalamus.R",0.653693120803508,"Intero","Subcortical"
"Postcent.Gyr.R.6","Thalamus.R",0.652974788409915,"Intero","Subcortical"
"Postcent.Gyr.L.1","Thalamus.R",0.650752124952418,"Intero","Subcortical"
"Precent.Gyr.L.4","Thalamus.R",0.650244432194912,"SomMot","Subcortical"
"Postcent.Gyr.L","Caudate.R",0.649756299696594,"Intero","Subcortical"
"Precent.Gyr.L.2","Thalamus.R",0.647961724152349,"SomMot","Subcortical"
"Postcent.Gyr.L.4","Thalamus.R",0.646640330470227,"Intero","Subcortical"
"Postcent.Gyr.L","Paracingu.Gyr.R",0.646542283484582,"Intero","Intero"
"Lat.Occip.Cort.Inf.L.1","Thalamus.R",0.646326522119999,"Vis","Subcortical"
"Precent.Gyr.R.1","Putamen.R",0.645953486044852,"SomMot","Subcortical"
"Postcent.Gyr.R.7","Thalamus.R",0.644521220058627,"Intero","Subcortical"
